Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
"Arizona Community Foundation, Inc. 2025",800000.0,2025-04-01,2026-12-31,in support of coordinating the efforts and building the capacity of grassroots organizations to inform state tax and revenue policies that benefit low to medium income workers,U.S. Economic Opportunity,Unknown,"2201 E. Camelback Road, Suite 405B, Phoenix, AZ 85016, United States of America"
Plan International USA 2025,200000.0,2025-04-01,2025-09-30,"in support of the response to the Myanmar earthquake, including provision of food and emergency measures for children and other vulnerable populations.",Asia Regional Office,Unknown,"275 Promenade Street, Suite 225 Providence, RI 02908, United States of America"
Dasra 2025,150000.0,2025-04-01,2026-09-30,in support of engaging the Indian diaspora to channel philanthropic resources to locally-led climate solutions for vulnerable communities in India,Strategic Opportunities Fund,Unknown,"One Riverway Drive, Suite 1900, Houston, TX 77056, United States of America"
BRAC USA 2025,300000.0,2025-04-01,2026-09-30,"in support of its Integrated Climate Change Programme to educate, train and provide resources and services to climate-vulnerable small holder women farmers in Bangladesh , Liberia, Tanzania, and Uganda",Asia Regional Office,Unknown,"26 Broadway, New York, NY 10004, United States of America"
Center for US Global Leadership 2025,350000.0,2025-03-01,2026-02-28,in general support of its mission to promote American leadership and national security through diplomacy and global development,Policy,Unknown,"1120 19th Street NW, Suite 300, Washington, DC 20036, United States of America"
Institute of International Education 2025,850000.0,2025-03-01,2025-10-31,"in support of a workforce development program that enables students to serve at non-profit organizations benefitting vulnerable populations in Sub-Saharan Africa, Latin America, and Asia",Policy,Unknown,"One World Trade Center, 36th Floor, New York, NY 10007, United States of America"
Colorado State University 2025,500000.0,2025-03-01,2027-09-30,in support of the Periodic Table of Food Initiative core laboratory efforts to provide comprehensive standardized analysis of the world's edible biodiversity,Food Initiative,Unknown,"500 University Services Center, 2002 Campus Delivery, Fort Collins, CO 80523-2002, United States of America"
Global Impact 2025,100000.0,2025-03-01,2026-02-28,in support of advancing literacy rates for US children,Innovation,Unknown,"2300 N st. NW, Suite 501A, Washington DC, Washington DC 20037, United States of America"
Bridgespan Group 2025,100000.0,2025-03-01,2027-02-28,"in support of a researching and publishing a report to catalyze high impact philanthropy in Asia<br />
",Asia Regional Office,Unknown,"2 Copley Place, Suite 3700B, Boston, MA 02116, United States of America"
Public Private Strategies Institute 2025,350000.0,2025-03-01,2025-09-30,in support of its Emerging Voices Table on Economic Security program,U.S. Economic Opportunity,Unknown,"700 Pennsylvania Ave SE, 2nd Floor, Washington, DC 20003, United States of America"
"RF Catalytic Capital, Inc. 2024",7384000.0,2024-12-01,2025-11-30,"in support of Mission 300 activities, including the Africa Energy Summit, building local institutional capacity and local currency financing mechanisms, activating local markets and supporting partners, in an effort to increase energy access in Africa",Power and Climate,Unknown,"420 Fifth Ave, 22nd Floor, New York, NY 10018, United States of America"
International Foundation for Electoral Systems 2024,500000.0,2024-12-01,2026-09-30,in support of strengthening global democratic resilience by developing a global learning hub and tech advisory group to assist local-level electoral stakeholders identify and respond to emerging digital threats,Strategic Opportunities Fund,Unknown,"2011 Crystal Drive, 10th Floor, Arlington, VA 22202, United States of America"
Dalberg Catalyst 2024,500000.0,2024-12-01,2025-11-30,In support of an initiative to strengthen Africa’s participation in and ability to benefit from carbon markets,Africa Regional Office,Unknown,"1401 K Street NW, #900, Washington, DC 20005, United States of America"
Turn.io 2024,200000.0,2024-12-01,2025-11-30,"in support of implementing an AI-based conversational platform to improve public participation on issues related to Cape Town's city government, services, and initiatives",Innovation,Unknown,"900 East Mexico Avenue, suite 300, Denver, Colorado 80210, United States of America"
Brookings Institution 2024,1500000.0,2024-12-01,2027-11-30,"In support of the annual ""17 Rooms"" process and convening focused on advancing the Sustainable Development Goals",Innovation,Unknown,"1775 Massachusetts Avenue, NW, Washington, DC 20036-2188, United States of America"
"RF Catalytic Capital, Inc. 2024",700000.0,2024-12-01,2027-11-30,in support of building the capacity of the governments of Senegal and Uganda to strategically finance projects that address climate adaptation and strengthen health systems for vulnerable populations.,Health Initiative,Unknown,"420 Fifth Ave, 22nd Floor, New York, NY 10018, United States of America"
Harvard University 2024,668203.0,2024-12-01,2027-11-30,in support of expanding the Food is Medicine program in the U.S.,Food Initiative,Unknown,"1350 Massachusetts Avenue, Massachusetts Hall, Cambridge, MA 02138, United States of America"
Gamos East Africa 2024,200000.0,2024-12-01,2025-11-30,in support of assessing the viability of a range of larger-scale clean cooking solutions for school use in Kenya,Food Initiative,Unknown,"Lower Kabete, Nairobi,, Kenya"
Instituto Comida do Amanhã 2024,200000.0,2024-12-01,2025-12-31,"In support of promoting the transition to regenerative agriculture in Brazil, with a focus on the country’s national program for school meals",Food Initiative,Unknown,"R HANS STADEN 00010 APT 606, BOTAFOGO, RIO DE JANEIRO RJ,  22.281-060, Brazil"
Family Health International 2024,150000.0,2024-12-01,2026-07-31,in support of developing tools and resources to track the environmental impacts of meals served in institutional feeding programs,Food Initiative,Unknown,"FHI 360 Headquarters, 359 Blackwell Street, Suite 200, Durham, NC 27701, United States of America"
Columbia University 2024,200000.0,2024-12-01,2026-05-31,"in support of leveraging artificial intelligence to improve community preparedness, response, and recovery to extreme climate events in two flood-prone and economically-disadvantaged neighborhoods in Rio de Janeiro, Brazil",Innovation,Unknown,"615 West 131st Street, 6th Floor, Mail Code 8725, New York, NY 10027, United States of America"
Climate Vulnerable Forum LBG 2024,300000.0,2024-12-01,2026-11-30, in support of providing technical assistance that incorporates heath impacts into the climate resource mobilization plans of climate vulnerable nations ,Health Initiative,Unknown,"Africa Trade House, Ambassadorial Enclave, Liberia Road, Accra,, Ghana"
Pan American Health Organization 2024,354316.0,2024-12-01,2026-02-28,"in support of raising awareness of climate change's impact on health inequity in the lead up to, and at, COP30",Health Initiative,Unknown,"Regional Office of the World Health Organization, 525 Twenty-Third Street, N.W., Washington, DC 20037-2895, United States of America"
Cereal Growers Association 2024,200000.0,2024-12-01,2026-06-30,in support of studying and integrating  local regenerative agriculture  practices into school feeding programs in Kenya,Food Initiative,Unknown,"P.O Box 27542-00506, Mountain View Estate, Off Waiyaki Way, House Number 268, Nairobi,, Kenya"
International Food Policy Research Institute 2024,200000.0,2024-12-01,2025-11-30,"in support of assessing how school meals contribute to improvements in education, nutrition, and local food systems globally",Food Initiative,Unknown,"1201 I Street, NW, Suite 400, Washington, DC 20005-3915, United States of America"
The Ellen Johnson Sirleaf Presidential Center for Women &amp; Development 2024,200000.0,2024-12-01,2026-04-30,"in support of its African Women's Climate Champions Network, an effort to equip African women leaders with the skills and tools they need to drive gender responsive climate action at a global scale",Convenings & Networks,Unknown,"Tubman Boulevard, Monrovia,, Liberia"
Systemic Investing Initiative 2024,113175.0,2024-12-01,2025-11-30,in support of an effort to accelerate the transition to regenerative agriculture in the midwestern U.S.,Innovation,Unknown,"Tessinerplatz 7, Zurich,  8002, Switzerland"
Artha Global 2024,100000.0,2024-12-01,2025-11-30,in general support of its mission to promote prosperity and resilience in the developing world,Innovation,Unknown,"10 Queen Street Palace, First Floor, London,  EC4R 1BE, England"
Dasra 2024,500000.0,2024-12-01,2026-12-31,"in general support of its mission to assist non-profits in India to grow, leverage philanthropic capital and facilitate collaboration with government and other stakeholders to ensure implementation at scale",Asia Regional Office,Unknown,"One Riverway Drive, Suite 1900, Houston, TX 77056, United States of America"
GFI PMO Ltd. 2024,500000.0,2024-12-01,2026-11-30,"in support of its Taskforce on Nature-related Financial Disclosures (“TNFD”) initiative, which encourages and enables the business and finance sectors to assess, report and act on their nature-related impacts, dependencies, risks and opportunities with the aim of supporting a shift in global financial flows toward nature-positive outcomes",Innovative Finance,Unknown,"International House, 24 Holborn Viaduct, EC1A 2BN, London,, United Kingdom of Great Britain and Northern Ireland"
New America Foundation 2024,50000.0,2024-12-01,2025-11-30,in support of efforts to establish a national housing loss rate in the U.S. to stand alongside the unemployment rate as a key measure of economic and social well being,Innovation,Unknown,"740 15th Street NW, Suite 900, Washington, DC 20005, United States of America"
Digital Green 2024,200000.0,2024-12-01,2025-11-30,in support of using AI to advance regenerative agriculture and gender equity objectives among smallholder farmers in Brazil,Food Initiative,Unknown,"2443 Fillmore Street, #380-6502, San Francisco, CA 94115, United States of America"
ICVCM Limited 2024,600000.0,2024-11-01,2026-03-31,"in support of developing best practices and innovative approaches to addressing complex issues in the voluntary carbon market, and helping to ensure that the needs and rights of Indigenous Peoples and local communities are taken into account when designing and implementing these markets",Power and Climate,Unknown,"International House, 36-38 Cornhill, London,  EC3V 3NG, United Kingdom of Great Britain and Northern Ireland"
University College London 2024,100000.0,2024-11-01,2025-10-31,"in support of helping governments implement green industrial strategies in Brazil, South Africa, the U.K. and the U.S.",Innovation,Unknown,"Gower Street, London,  WC1E 6BT, England"
Meridian Prime Inc 2024,211582.0,2024-11-01,2025-12-31,in support of developing regionally collaborative financing initiatives that scale regenerative food systems for the benefit of undernourished populations worldwide ,Food Initiative,Unknown,"PO Box 1829, Dillon, CO 80435, United States of America"
International Development Research Centre 2024,500000.0,2024-11-01,2027-03-31,in support of research on the state of regenerative agriculture in selected East African countries to encourage more sustainable food systems,Food Initiative,Unknown,"45 O'Connor Street,, Ottawa, ON K1P 1A4, Canada"
The Partnership for New York City 2024,175000.0,2024-11-01,2025-10-31,"in support of a series of convenings of community, civic, business, and labor leaders to develop solutions for tackling challenges that impact marginalized and vulnerable communities in New York City",Convenings & Networks,Unknown,"One Battery Park Plaza, 5th Floor, New York, New York 10004, United States of America"
United Nations Foundation 2024,400000.0,2024-11-01,2026-04-30,in support of advancing clean cooking interventions in Kenya,Power and Climate,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
Dara.Network Inc. 2024,237141.0,2024-11-01,2025-10-31,"in support of developing an experimental, standardized approach to building AI products to help charitable organizations implement their work",Innovation,Unknown,"13034 39th Ave NE, Seattle, WA 98125, United States of America"
Policy Impact 2024,200000.0,2024-11-01,2026-05-31,in support of creating a pooled fund to build the field of participatory democracy in the U.S.,Innovation,Unknown,"127 University Avenue, Berkley, CA 94710, United States of America"
World Health Organization 2024,500000.0,2024-11-01,2026-10-31,in support of its International Pathogen Surveillance Network's global community of practice to promote peer-to-peer knowledge sharing and strategies for multi-pathogen wastewater surveillance,Health Initiative,Unknown,"20 Avenue Appia, CH-1211, Geneva,  27, Switzerland"
Welight Institute of Socio-Environmental Innovation (IWIS) 2024,298229.0,2024-11-01,2025-08-31,"in support of an effort to promote regenerative agriculture, socio-bioeconomy practices, and financial innovation for sustainable development in the Brazilian Amazon",Food Initiative,Unknown,"Rua da Quitanda, 52, Sala 201, Centro, Rio de Janeiro,  20011-030, Brazil"
Tufts University 2024,384404.0,2024-11-01,2027-10-31,in support of a study on how local food economies can support the delivery of Food Is Medicine interventions and promote sustainable agricultural practices in Mississippi,Food Initiative,Unknown,"Research Administration, 136 Harrison Avenue, Boston, MA 02111-1817, United States of America"
University of Utah 2024,450000.0,2024-11-01,2027-06-30,in support of implementing and evaluating a produce box program for veterans in Maryland,Food Initiative,Unknown,"201 South President's Circle, Room 210, Salt Lake City, UT 84112, United States of America"
4P Foods 2024,853121.0,2024-11-01,2028-02-29,in support of building inclusive partnerships between the Food is Medicine network and existing local and regional food aggregation and distribution infrastructure in the mid-Atlantic region of the U.S,Food Initiative,Unknown,"PO Box 106, Elkwood, VA 22718, United States of America"
Reinvestment Partners 2024,150000.0,2024-11-01,2026-12-31,"in support of providing and evaluating a produce prescription program for veterans in Durham, North Carolina",Food Initiative,Unknown,"110 E Geer St, Durham, NC 27701, United States of America"
RadicalxChange Foundation Ltd. 2024,100000.0,2024-11-01,2026-04-30,in support of developing innovations in private law for social impact and advancing the public good,Innovation,Unknown,"26 Fieldbrook Place, Moraga, CA 94556, United States of America"
Jacaranda Health 2024,250000.0,2024-11-01,2026-04-30,"in support of leveraging digital health tools to measure the impact of rising temperatures on, and provide mitigation strategies for pregnant people and new parents in Kenya, Ghana, and Nigeria",Innovation,Unknown,"PO Box 3862, Durham, NC 27702, United States of America"
United States Fund for UNICEF 2024,150000.0,2024-11-01,2025-10-31,in support of evaluating the impact of local-level engagement in climate and health emergency responses and preparedness in vulnerable Eastern and Southern Africa communities,Health Initiative,Unknown,"125 Maiden Lane, 12th floor, New York, NY 10038, United States of America"
Tufts University 2024,355000.0,2024-11-01,2026-04-30,in support of its Friedman School of Nutrition Science and Policy to assess and expand the landscape of anticipatory action in formal health systems globally to reduce the negative impacts of climate change on the health of at-risk populations,Health Initiative,Unknown,"Research Administration, 136 Harrison Avenue, Boston, MA 02111-1817, United States of America"
Syracuse University 2024,450000.0,2024-11-01,2027-02-28,in support of a produce prescription implementation and research program for veterans in New York State,Food Initiative,Unknown,"Crouse Hinds Hall, Suite 600, Syracuse, NY 13244, United States of America"
Rocky Mountain Institute/RMI 2024,500000.0,2024-11-01,2025-10-31,"in support of accelerating a just coal-to-clean transition globally to lower CO2 emissions, reduce health impacts and pollution, and to mobilize financial mechanisms to support workers and communities affected by the transition",Power and Climate,Unknown,"2490 Junction Place, Suite 200, Boulder, CO 80301, United States of America"
Hawaii Good Food Alliance 2024,450000.0,2024-11-01,2027-10-31,in support of developing a scalable Food Is Medicine model that uses local food systems to improve food security and health outcomes for low-income communities in Hawaii,Food Initiative,Unknown,"PO Box 89455, Honolulu, HI 96830, United States of America"
Regional Coordinator of Committees for the Development Integral Environmental &#8220;TIKONEL TAQ&#8217;CHE&#8221; 2024,50000.0,2024-11-01,2025-10-31,"in support of increasing the agroecological productive capacity of indigenous women in San Martin Jilotepeque, Guatemala to help promote the environmental sustainability and resilience of the community",Food Initiative,Unknown,"13 calle 8-46 zona 2, Barrio El Calvario, San Martin Jilotepeque, Chimaltenango,, Guatemala"
World Vegetable Center 2024,250000.0,2024-11-01,2027-10-31,"in support of research on Regenerative Fortification, an effort to enhance crop nutritional quality and soil health, and reduce climate change impacts",Food Initiative,Unknown,"Yi-min Liao 60, Shanhua, Tainan,  74151, Taiwan"
Universidad ICESI 2024,300000.0,2024-11-01,2026-04-30,"in support of developing a predictive and prescriptive model based on artificial intelligence to help prevent dengue fever in Cali, Colombia",Innovation,Unknown,"Calle 18 No. 122-135, Cali,, Colombia"
"Health in Harmony, Inc. 2024",475650.0,2024-11-01,2026-10-31,"in support of developing innovative financing mechanisms to increase investments in Indigenous-led, nature-based climate solutions to protect and preserve rainforest communities in the Amazonian Basin",Innovative Finance,Unknown,"P.O. Box 96176, Portland, OR 97296, United States of America"
Los Angeles Cleantech Incubator 2024,500000.0,2024-11-01,2026-04-30,"in support of advancing zero emission delivery in urban areas, in an effort to reduce GHG emissions, improve air quality, and create jobs, with a focus on benefitting residents of marginalized communities adjacent to logistics properties",Innovative Finance,Unknown,"525 S. Hewitt Street, Los Angeles, CA 90013, United States of America"
American Red Cross 2024,200000.0,2024-11-01,2025-10-31,in support of systematically assessing the opportunity for institutionalized anticipatory action for extreme heat in Nepal,Health Initiative,Unknown,"431 18th Street NW, Washington, DC, District of Columbia 20006, United States of America"
Community Servings 2024,354544.0,2024-11-01,2027-10-31,in support of accelerating and evaluating a Food Is Medicine program that integrates good food sourcing into medically-tailored meals in Massachusetts,Food Initiative,Unknown,"179 Amory st., Jamaica Plain, MA 02130, United States of America"
American Heart Association 2024,485000.0,2024-11-01,2025-08-31,in support of building a sustainable data infrastructure for the Periodic Table of Food Initiative to continue fostering a food systems transformation for improved human and planetary health,Food Initiative,Unknown,"7272 Greenville Avenue, Dallas, TX 75231, United States of America"
United Nations Foundation 2024,250000.0,2024-11-01,2026-10-31,in support of catalytic grants to improve pandemic preparedness by increasing the quality and availability of epidemic intelligence modeling and surveillance technology globally ,Health Initiative,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
EAT Foundation 2024,100000.0,2024-11-01,2025-10-31,"in support of producing a report that will translate scientific understanding of the Planetary Health Diet into actionable practices that prevent serious illness, reduce healthcare costs and mitigate environmental damage to the planet",Food Initiative,Unknown,"Radhusgata 23, Oslo,  0158, Norway"
National Academy of Sciences 2024,350000.0,2024-11-01,2026-10-31,for use by the National Academy of Medicine in support of an economic sector roadmap for achieving a net zero economy that promotes global health and equity,Strategic Opportunities Fund,Unknown,"500 Fifth Street, NW, Washington, DC 20001, United States of America"
American Heart Association 2024,250000.0,2024-11-01,2025-10-31,in support of adding new Periodic Table of Food laboratories in key geographies to continue fostering a food systems transformation for improved human and planetary health.,Food Initiative,Unknown,"7272 Greenville Avenue, Dallas, TX 75231, United States of America"
Flower Hill Institute 2024,100000.0,2024-11-01,2025-10-31,"in support of efforts to strengthen food sovereignty and resilience among Indigenous communities in the U.S. Midwest by assessing current needs, mapping existing networks, and fostering connections that align with regenerative agriculture principles",Food Initiative,Unknown,"PO Box 692, Jemez Pueblo, New Mexico 87024, United States of America"
World Business Council for Sustainable Development 2024,250000.0,2024-11-01,2025-11-30,in support of accelerating regenerative agriculture globally by encouraging widespread industry adoption of a core set of outcomes and metrics and helping companies to transition to regenerative practices across their value chains,Food Initiative,Unknown,"Avenue du Bouchet 2bis, Geneva,  1209, Switzerland"
Adelante Mujeres 2024,400000.0,2024-11-01,2027-10-31,"in support of expanding community-based, culturally-relevant Food is Medicine programs in Latin and Immigrant communities in Oregon in an effort to improve health outcomes",Food Initiative,Unknown,"2030 Main Street,, Suite A, Forest Grove, OR 97116, United States of America"
"Convergence Blended Finance, Inc. 2024",249721.0,2024-11-01,2026-01-31,in support of the development and distribution of research on the insurance sector's role in mobilizing capital that provides greater climate resilience and health outcomes for vulnerable communities in Asia,Health Initiative,Unknown,"1 Toronto Street, Suite 701, Toronto, Ontario MSV 2V6, Canada"
Ambition Loop Foundation 2024,200000.0,2024-11-01,2025-06-30,"in support of closing the financing gap for a just and equitable transition to regenerative agriculture in emerging and developing economies of the Global South, with a focus o helping smallholder farmers and marginalized populations",Food Initiative,Unknown,"Neveria 4774 apt 801, Las Condes - Santiago,, Chile"
Espacios Abiertos Puerto Rico Inc. 2024,200000.0,2024-11-01,2025-12-31,"in general support of its mission to create and strengthen civic participation mechanisms so that people in Puerto Rico can directly and effectively influence the social, political and economic processes of the country",U.S. Economic Opportunity,Unknown,"867 Ave. Muñoz Rivera, Suite D 101, San Juan, Puerto Rico 00925, United States of America"
Center for Climate and Energy Solutions (C2ES) 2024,1000000.0,2024-10-01,2026-06-30,in support of the Energy Transition Accelerator initiative to advance a just clean energy transition in developing and emerging economies,Power and Climate,Unknown,"1400 K st NW STE 1100, Washington DC, DC 20005, United States of America"
Sustainable Agriculture Initiative Platform 2024,250000.0,2024-10-01,2026-09-30,"in support of developing scalable regenerative agriculture solutions that integrate socio-economic indicators, enhance farmer resilience and promote sustainable practices within smallholder farming systems",Food Initiative,Unknown,"47 Avenue Blanc, 7th floor, Geneva,  1202, Switzerland"
The Aspen Institute 2024,1125000.0,2024-10-01,2027-03-31,"in support of nonpartisan, educational convenings of US congressional leaders and experts in the fields of food security, foreign policy, national security, and climate to foster civil discourse and encourage collaboration on critical public policy issues",Policy,Unknown,"2300 N Street, NW, #700, Washington, DC 20037-1122, United States of America"
New Venture Fund 2024,500000.0,2024-10-01,2026-09-30,"in support of advancing  narratives that educate issue experts, the media, policymakers, and grasstops leaders about equitable tax policies that will expand the U.S. economy for all workers.",U.S. Economic Opportunity,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
"Imperial College of Science, Technology and Medicine 2024",250000.0,2024-10-01,2026-09-30,"in general support of its mission to provide superior education in technology, engineering, medicine and business that meets global challenges",Strategic Opportunities Fund,Unknown,"Sherfield Building, South Kensington, London,  SW7 2AZ, England"
Family Values at Work A Multi-State Consortium 2024,250000.0,2024-10-01,2025-12-31,in support of strengthening the capacity of grassroots organizations and pro-worker networks to expand public demand for a more equitable tax and revenue system that builds a sustainable care economy in the U.S  ,U.S. Economic Opportunity,Unknown,"207 E Buffalo Street, Suite 501, Milwaukee, WI 53202, United States of America"
"RESULTS Educational Fund, Inc. 2024",1000000.0,2024-10-01,2026-09-30,in general support of its mission to generate the public and political will needed to end poverty in the U.S. and globally,U.S. Economic Opportunity,Unknown,"1101 15th Street, NW, Washington DC,  20005, United States of America"
Center on Budget and Policy Priorities 2024,1650000.0,2024-10-01,2026-12-31,in general support of its mission to generate research and policy guidance that promotes a more equitable tax and revenue system that reduces barriers to opportunity for all Americans,U.S. Economic Opportunity,Unknown,"1275 First Street NE, Suite 1200, Washington, DC 20002, United States of America"
International Health Policy Foundation 2024,150000.0,2024-10-01,2027-06-30,"In support of the 2025, 2026 and 2027 Prince Mahidol Award Conferences, aimed at promoting evidence of and best practices on strengthening health systems.",Asia Regional Office,Unknown,"88/20 Moo 4, Soi Tiwanond, Tiwanond Road, Taladkhuan, Amphur Muang, Nonthaburi,  11000, Thailand"
Stichting Wageningen Research 2024,200000.0,2024-10-01,2026-12-31,in support of efforts to catalog how regenerative agricultural practices impact the nutritional quality of food,Food Initiative,Unknown,"Droevendaalsesteeg 1, Wageningen,  6708PB, Netherlands (Kingdom of the)"
Center for Effective Philanthropy 2024,300000.0,2024-10-01,2027-09-30,"in general support of its mission to provide data and create insight so philanthropic funders can better define, assess and improve their effectiveness and impact",Strategic Opportunities Fund,Unknown,"675 Massachusetts Avenue, 7th Floor, Cambridge, MA 02139, United States of America"
The Global Development Incubator 2024,150000.0,2024-10-01,2025-09-30,in support of building the operational capacity of a project that develops digital public data tools to increase youth employment in impoverished African communities,Innovation,Unknown,"1401 K Street, NW, Suite 900, Washington, DC 20005, United States of America"
CivicLex 2024,50000.0,2024-10-01,2025-10-31,"in general support of its mission to improve civic literacy, social cohesion, and institutional responsiveness in Lexington, Kentucky",Innovation,Unknown,"141 East Main Street, Lexington, Kentucky 40507, United States of America"
DataKind 2024,150000.0,2024-10-01,2025-09-30,in general support of its mission to harness the power of data for social change,Innovation,Unknown,"271 Cadman Plz E, Unit 24554, Brooklyn, NY 11202-8332, United States of America"
Global Resilient Cities Network 2024,99993.0,2024-10-01,2025-12-31,in support of providing capacity building and technical resources for a community of practice among global city stakeholders to incorporate health considerations into their climate adaptation strategies,Health Initiative,Unknown,"28 Liberty Street, 34th Floor, New York, NY 10005, United States of America"
New_Public 2024,250000.0,2024-09-01,2025-11-30,in support of expanding the use of AI to support civic engagement in the U.S.,Innovation,Unknown,"1300 Clay street, Suite 600, Oakland, CA 94612-1427, United States of America"
Rising Academy Network 2024,250000.0,2024-09-01,2025-08-31,"in support of building and deploying AI tools for students, teachers, and administrators to advance educational outcomes in Rwanda",Innovation,Unknown,"Kimihurura, Gasabo, Kigali City,, Rwanda"
United Nations Office for Project Service (UNOPS) 2024,5000000.0,2024-09-01,2026-10-31,in support of Sustainable Energy for All (SEforALL) to accelerate energy access in Zambia through mini-grids and rural electrification,Power and Climate,Unknown,"Chem. des Anemones 11, Vernier,  1219, Switzerland"
The Equity Alliance LLC 2024,450000.0,2024-09-01,2027-04-30,in support of developing and distributing a measurement framework for and impact reports about the investment performance of companies led by women and people of color,Strategic Opportunities Fund,Unknown,"65 Greene Street, New York, NY 10012, United States of America"
"RF Catalytic Capital, Inc. 2024",10263830.0,2024-09-01,2027-08-31,"in support of the Mission 300 Accelerator project, an effort to expand electricity access and provide increased and more affordable power to 300 million people in Africa by 2030 ",Power and Climate,Unknown,"420 Fifth Ave, 22nd Floor, New York, NY 10018, United States of America"
The Aspen Institute 2024,425000.0,2024-09-01,2024-12-31,"in general support of its mission to realize a free, just and equitable society by bringing together citizens and leaders in structured dialogues to address challenges facing the most vulnerable populations.",Policy,Unknown,"2300 N Street, NW, #700, Washington, DC 20037-1122, United States of America"
United Nations Foundation 2024,100000.0,2024-09-01,2025-08-31,"In support of accelerating a global digital transformation that is designed, deployed, and governed for the public good",Innovation,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
Policy Impact 2024,35000.0,2024-09-01,2025-08-31,in support of a guide and briefing on citizens' assemblies and other innovations in participatory democracy targeted toward funders interested in strengthening the health of democracy in the U.S.,Innovation,Unknown,"127 University Avenue, Berkley, CA 94710, United States of America"
Cortico Corporation 2024,250000.0,2024-09-01,2026-02-28,"in support of developing and using AI tools to enhance on-campus dialogue by building community trust, strengthening connection across hierarchies, and fostering empathetic listening and collaboration skills within colleges and universities in the U.S.",Innovation,Unknown,"68 Harrison Ave Ste 605PMB 83158, Boston, MA 02111, United States of America"
Skinner Leadership Institute Inc 2024,100000.0,2024-09-01,2025-01-31,"in general support of its mission to provide networking, bridge-building, and leadership development opportunities for civic, faith, and youth leaders in the U.S. who are committed to the empowerment of economically underserved populations",Strategic Opportunities Fund,Unknown,"2315 Branch Ave SE, Washington, DC 20020, United States of America"
Partnership for Public Service 2024,125000.0,2024-09-01,2025-08-31,in general support of its mission to encourage systemic innovation and assist the Federal government to maximize its effectiveness serve to the US public,Strategic Opportunities Fund,Unknown,"1100 New York Avenue NW, Suite 1090 East, Washington, DC 20005, United States of America"
Economic Security Project 2024,100000.0,2024-09-01,2025-08-31,"in support of a convening of technologists, government officials and academics to discuss the design and implementation of publicly available AI resources that more effectively and efficiently serve the general public",Innovation,Unknown,"228 Park Ave S, PMB 32482, New York, NY 10003-1502, United States of America"
